Variable / Field Name,Section Header,Field Label,Field Type,"Choices, Calculations, OR Slider Labels",Numeric Assign.,Text Validation Type OR Show Slider Number,Block,Text Validation Min,Text Validation Max,Branching Logic,Codebook Info,Form Info
crave,Check-Ins,"Right now, how much are you craving a cigarette?",slider,Not at All | Extremely,"0 = Not at All
100 = Extremely",,Craving,0,100,,,"Check-in surveys are sent 4 times every day. Once in the morning randomly within the time window, once with Summary 1, once in the evening randomly within the time window, and once with Summary 2 "
pos,Check-Ins,How POSITIVE do you feel right now?,slider,Not at All | Extremely,"0 = Not at All
100 = Extremely",,Mood_rand,0,100,,,
neg,Check-Ins,How NEGATIVE do you feel right now?,slider,Not at All | Extremely,"0 = Not at All
100 = Extremely",,Mood_rand,0,100,,,
cigs,Check-Ins,"Within the last hour, how many cigarettes did you smoke?",text,,[0-99],number,Cigs,0,99,,,
lastCig,Check-Ins,How long ago did you last smoke a cigarette?,text,time,,time,Cigs,,,,,
nicotine_binary,Check-Ins,"Since the last survey, have you used any nicotine or tobacco products besides tobacco cigarettes?",radio,Yes | No,"1, Yes | 2, No",,,,,,,
wake,Summary 1,What time did you wake up today?,Date and Time,,,,Wake_Time,,,,,Summary 1 is sent once in the afternoon with a check-in survey based on the participant's start time
cvg_1,Summary 1,"Between the time when you woke up and [check pak variation], how many cigarettes have you smoked in total?",text,[0-99],,number,Cov_1,0,99,,,
cvg_2,Summary 2,"Between [check pak variation] (e.g. 11am and 5pm), how many cigarettes have you smoked in total?",text,,,time,Cov_2,,,,,Summary 2 is sent once in the evening with a check-in survey based on the participant's start time.
smokeConv_yn,Summary 2,"In the past 24 hours, did you talk to anybody about smoking tobacco cigarettes?",radio,"1, Yes | 2, No","1 = Yes
2 = No",,Cov_2,,,,,
talkCig [if smokeConv = Yes],Summary 2,"Now we are going to ask you a few questions about the conversations about smoking tobacco cigarettes that you had in the past 24 hours.

Whom did you speak to in the past 24 hours?
Scroll through the list and select all that apply

Whom did you speak to about smoking tobacco cigarettes in the past 24 hours?
Scroll through the list and select all that apply",checkbox,"1, A friend or family member| 2, an acquaintance | 3, Someone who approves of my smoking | 4, Someone who disapproves of my smoking | 5, Someone who tends to smoke as much as I do or more | 6, Someone who tends to smoke less than me | 7, Someone who is trying to quit smoking | 8, Someone who does not smoke",,,,,,,,
