Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Codebook Info,Form Info
demographics_intro,survey_measures,demographics,descriptive,"The following series of questions is about you and your background. We request that you answer every question, but you can skip questions if you prefer not to answer them.",,,,,,,,,,,,,,"Survey Measures were collected on Qualtrics during Session 1, 2, and 3. A few additional survey measures were collected during the fMRI session.",Demographics were collected during S1.
race,survey_measures,demographics,checkbox,"Which of the following best describes your ethnic background? You can choose more than one response, if applicable. Note that we may ask one of more specific questions about your ethnicity or ethnicities as a follow-up to this question.","4, American Indian or Alaska Native | 1, Asian | 2, Black | 3, Pacific Islander or Hawaiian Native | 5, White | 6, Prefer to self-describe | 7, Prefer not to say",,,,,,,,,,,,,,
race_6_text,survey_measures,demographics,text,"Text entry for Race= ""Prefer to self-describe""",,,,,,,[race(6)]=1,,,,,,,,
ethnicity,survey_measures,demographics,radio,Do you identify as Hispanic or Latinx? (Note. Latinx is a gender-neutral term that also includes Latina and Latino.),"1, Yes | 0, No | 2, Prefer not to say",,,,,,,,,,,,,,
ses_level,survey_measures,demographics,radio,"People talk about social classes such as the poor, the working class, the middle class, the upper-middle class, and the upper class. Which of these classes would you say you belong to?","1, Poor | 2, Working Class | 3, Middle Class | 4, Upper-Middle Class | 5, Upper Class",,,,,,,,,,,,,,
income_individual,survey_measures,demographics,radio,"In this section, we ask questions about your income.

We kindly encourage you to provide honest and valid responses to all items. 

Selecting responses like ""I don't know"" or ""Prefer not to say"" is allowed, and you will still be compensated. However, selecting these responses will make your data less useful for our analyses.  
   
Please note that your answers are completely anonymous as is all of your data we have collected.

How much did you earn, before taxes and other deductions, during the past 12 months?

Individual annual income:","1, Less than $5,000 | 2, $5,000 through $11,999 | 3, $12,000 through $15,999 | 4, $16,000 through $24,999 | 5, $25,000 through $34,999 | 6, $35,000 through $49,999 | 7, $50,000 through $74,999 | 8, $75,000 through $99,999 | 9, $100,000 and greater | 10, I don't know | 11, Prefer not to say",,,,,,,,,,,,,,
school,survey_measures,demographics,radio,"What is the highest degree or level of school you have completed? 

If currently enrolled, indicate highest degree completed.","1, No formal education | 2, Less than high school | 3, High school graduate (diploma) | 4, High school graduate (GED) | 5, Some college (1-4 years, no degree) | 6, Associate's degree (including occupational or academic degrees) | 7, Bachelor's degree (BA, BS, etc.) | 8, Master's degree (MA, MS, MENG, MSW, etc.) | 9, Professional school degree (MD, DDC, JD, etc.) | 10, Doctorate degree (PhD, EdD, etc)",,,,,,,,,,,,,,
white_follow_up,survey_measures,demographics,checkbox,"You identified as White. Which of the following best describes your ethnic background? You can choose more than one response, if applicable.","1, White American (U.S.) | 2, European (specify country) | 3, North African (specify country) | 4, Middle Eastern (specify country) | 5, Prefer to self-describe (specify country) | 6, Prefer not to say",,,,,,[race(5)]=1,,,,,,,,
white_follow_up_2_text,survey_measures,demographics,text,"Text entry for White Follow-Up=""European (specify country)""",,,,,,,[white_follow_up(2)]=1,,,,,,,,
white_follow_up_3_text,survey_measures,demographics,text,"Text entry for White Follow-Up=""North African (specify country)""",,,,,,,[white_follow_up(3)]=1,,,,,,,,
white_follow_up_4_text,survey_measures,demographics,text,"Text entry for White Follow-Up=""Middle Eastern (specify country)""",,,,,,,[white_follow_up(4)]=1,,,,,,,,
white_follow_up_5_text,survey_measures,demographics,text,"Text entry for White Follow-Up=""Prefer to self-describe""",,,,,,,[white_follow_up(5)]=1,,,,,,,,
black_follow_up,survey_measures,demographics,checkbox,"You identified as Black. Which of the following best describes your ethnic background? You can choose more than one response, if applicable.","1, African (specify country) | 2, African American (U.S.) | 3, Caribbean (specify country) | 4, Prefer to self-describe | 5, Prefer not to say",,,,,,[race(5)]=1,,,,,,,,
black_follow_up_1_text,survey_measures,demographics,text,"Text entry for Black Follow-Up=""African (specify country)""",,,,,,,[black_follow_up(1)]=1,,,,,,,,
black_follow_up_3_text,survey_measures,demographics,text,"Text entry for Black Follow-Up=""Caribbean (specify country)""",,,,,,,[black_follow_up(3)]=1,,,,,,,,
black_follow_up_4_text,survey_measures,demographics,text,"Text entry for Black Follow-Up=""Prefer to self-describe""",,,,,,,[black_follow_up(4)]=1,,,,,,,,
asian_follow_up,survey_measures,demographics,checkbox,"You identified as Asian. Which of the following best describes your ethnic background? You can choose more than one response, if applicable.","1, Asian Indian | 2, Chinese | 3, Filipino | 4, Japanese | 5, Korean | 6, Vietnamese | 7, Hmong | 8, Laotian | 9, Thai | 10, Malaysian | 11, Pakistani | 12, Cambodian | 13, Bangladeshi | 14, Prefer to self-describe | 15, Prefer not to say",,,,,,[race(1)]=1,,,,,,,,
asian_follow_up_14_text,survey_measures,demographics,text,"Text entry for Asian Follow-Up=""Prefer to self-describe""",,,,,,,[asian_follow_up(14)]=1,,,,,,,,
pi_follow_up,survey_measures,demographics,checkbox,"You identified as Pacific Islander or Hawaiian Native. Which of the following best describes your ethnic background? You can choose more than one response, if applicable.","1, Native Hawaiian | 2, Guamanian or Chamorro | 3, Samoan | 4, Fijian | 5, Tongan | 6, Prefer to self-describe | 7, Prefer not to say",,,,,,[race(3)]=1,,,,,,,,
pi_follow_up_6_text,survey_measures,demographics,text,"Text entry for PI Follow-Up=""Prefer to self-describe""",,,,,,,[pi_follow_up(6)]=1,,,,,,,,
ethnicity_open,survey_measures,demographics,text,"We use the race and ethnicity categories presented on the previous pages for standardized reporting, but also recognize that you may identify with a different or more specific races/ ethnicities. If so, please specify your racial and ethnic identities here:",,,,,,,,,,,,,,,
gender,survey_measures,demographics,radio,Which best describes your gender identity?,"1, Man | 4, Non-binary | 5, Genderqueer | 6, Agender | 7, Gender fluid | 2, Woman | 8, I prefer to self-describe | 3, Prefer not to say",,,,,,,,,,,,,,
gender_8_text,survey_measures,demographics,text,"Text entry for Gender=""Prefer to self-describe""",,,,,,,[gender]=8,,,,,,,,
trans,survey_measures,demographics,radio,"Transgender is an umbrella term that refers to people whose gender identity, expression or behavior is different from those typically associated with their assigned sex at birth. Other identities considered to fall under this umbrella can include non-binary, gender fluid, and genderqueer - as well as many more. Do you identify as transgender?","1, Yes | 5, No | 4, Prefer not to say",,,,,,,,,,,,,,
sexuality,survey_measures,demographics,radio,Which of the following best represents how you think of yourself?,"2, Lesbian or gay | 1, Straight | 3, Bisexual | 4, Prefer to self-describe | 5, I don't know the answer | 7, Prefer not to say",,,,,,,,,,,,,,
se_follow_up,survey_measures,demographics,radio,Pick the option that sounds most like you.,"1, You are not straight, but identify with another label such as queer, trisexual, omnisexual, or pansexual | 2, You are transgender, transsexual, or gender variant | 3, You have not figured out or are in the process of figuring out your sexuality | 4, You do not think of yourself as having sexuality | 5, You do not use labels to identify yourself | 6, Something else",,,,,,[sexuality]=4,,,,,,,,
se_follow_up_6_text,survey_measures,demographics,text,"Text entry for Sexuality=""Prefer to self-describe""",,,,,,,[sexuality]=4,,,,,,,,
don_t_know,survey_measures,demographics,radio,What do you mean by don't know?,"1, You don't understand the words | 2, You understand the words, but you have not figured out or are in the process of figuring out your sexuality | 3, You mean something else",,,,,,[sexuality]=5,,,,,,,,
se_6_followup,survey_measures,demographics,text,What do you mean by something else?,,,,,,,,,,,,,,,
